domain	country	A	NS	CNAME	MX	TXT
enlightenmentcafe.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ianandalison.uk			ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk			
enlrecruitment.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ennate.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helengilbart.co.uk	DE	217.160.0.83	ns1105.ui-dns.org,ns1105.ui-dns.com,ns1105.ui-dns.de,ns1105.ui-dns.biz		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
helengithiomi.co.uk	US	199.34.228.59	ns2.hosteurope.com,ns.hosteurope.com		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ianclarkmusic.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helengrayart.co.uk	NL	46.166.189.98	ns-usa.topdns.com,ns-uk.topdns.com,ns-canada.topdns.com			
early-years-conference.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk			
enoughs-enough.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helengreencounselling.co.uk	GB	77.72.4.74	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mail.helengreencounselling.co.uk', 'priority': 10}	
earlybirdsoftware.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helengregorymedia.co.uk	US	192.64.119.57	dns2.registrar-servers.com,dns5.registrar-servers.com,dns3.registrar-servers.com,dns4.registrar-servers.com,dns1.registrar-servers.com		{'exchange': 'eforward1.registrar-servers.com', 'priority': 10},{'exchange': 'eforward5.registrar-servers.com', 'priority': 20},{'exchange': 'eforward3.registrar-servers.com', 'priority': 10},{'exchange': 'eforward2.registrar-servers.com', 'priority': 10},{'exchange': 'eforward4.registrar-servers.com', 'priority': 15}	v=spf1 include:spf.efwd.registrar-servers.com ~all
eveningdressesnow.uk	IE	54.72.9.51	ns1.parkingcrew.net,ns2.parkingcrew.net			
helengriffin.co.uk	GB	46.32.240.33	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mail.helengriffin.co.uk', 'priority': 30},{'exchange': 'mail.pinklizards.com', 'priority': 20},{'exchange': 'mail.griffindomain.com', 'priority': 10}	9rohdu6v9rhigamjvo6kq3iboo
essexbcis.uk	US	198.71.188.149	ns18.domaincontrol.com,ns17.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
iandobrin.uk			ns1.nameservers.co.uk,ns2.nameservers.co.uk			
evenproducts.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenharker.co.uk	DE	217.160.233.176	ns1123.ui-dns.de,ns1123.ui-dns.biz,ns1123.ui-dns.com,ns1123.ui-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 11},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	 v=spf1 include:_spf.perfora.net include:_spf.kundenserver.de -all
helenkenny.co.uk	US	162.241.224.236	ns2.bluehost.com,ns1.bluehost.com		{'exchange': 'mail.helenkenny.co.uk', 'priority': 0}	v=spf1 a mx include:websitewelcome.com ~all
helenkeo.co.uk	US	50.63.202.40	ns05.domaincontrol.com,ns06.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
establishedlondon.uk	GB	94.126.40.154	ns0.lcn.com,ns1.lcn.com,ns2.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
ianhellyer.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
establishedmen.uk	GB	217.19.248.132	dns2.idp365.net,dns3.idp365.net,dns1.idp365.net		{'exchange': 'mail.idp365.net', 'priority': 10}	
ianhepburn.uk	GB	195.8.66.1	ns2.clara.net,ns0.clara.net,ns1.clara.net		{'exchange': 'mx-vh.clara.net', 'priority': 5}	
establishmentbars.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenlambdance.co.uk	GB	94.136.40.90	ns2.hosteurope.com,ns.hosteurope.com			
iankinghamilton.uk	GB	185.119.173.171	ns2.tsohost.co.uk,ns1.tsohost.co.uk		{'exchange': 'mail3.eqx.gridhost.co.uk', 'priority': 0}	
helenlarner.co.uk	GB	88.208.252.9	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.helenlarner.co.uk', 'priority': 10}	
ianmountford.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
estateagentcompass.uk	GB	109.68.33.18	ns2.domainmonster.com,ns3.domainmonster.com,ns1.domainmonster.com		{'exchange': 'mx.emailconfig.com', 'priority': 1}	v=spf1 ip4:109.68.33.0/24 ~all
ianoliver.uk	US	104.31.67.220,104.31.66.220	adam.ns.cloudflare.com,cheryl.ns.cloudflare.com			
events-sudbury.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
eventsadmire.uk	DE	217.160.0.38	ns1021.ui-dns.org,ns1021.ui-dns.de,ns1021.ui-dns.biz,ns1021.ui-dns.com		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
ianparris.uk	GB	212.67.221.28	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.ianparris.uk', 'priority': 10}	
estateagentsosimple.uk	US	192.64.119.228	dns1.registrar-servers.com,dns2.registrar-servers.com,dns3.registrar-servers.com,dns4.registrar-servers.com,dns5.registrar-servers.com		{'exchange': 'eforward5.registrar-servers.com', 'priority': 20},{'exchange': 'eforward1.registrar-servers.com', 'priority': 10},{'exchange': 'eforward2.registrar-servers.com', 'priority': 10},{'exchange': 'eforward3.registrar-servers.com', 'priority': 10},{'exchange': 'eforward4.registrar-servers.com', 'priority': 15}	v=spf1 include:spf.efwd.registrar-servers.com ~all
ianpaton.uk	GB	46.23.69.44	dns1.uk2.net,dns2.uk2.net,dns3.uk2.net		{'exchange': 'mx.ianpaton.uk.cust.a.hostedemail.com', 'priority': 0}	
estateagentssheffield.uk	US	74.220.199.6	ns2.bluehost.com,ns1.bluehost.com			
helenlay.co.uk	US	216.239.34.21,216.239.38.21,216.239.36.21,216.239.32.21	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'ASPMX3.GOOGLEMAIL.COM', 'priority': 10},{'exchange': 'ASPMX2.GOOGLEMAIL.COM', 'priority': 10},{'exchange': 'ASPMX.L.GOOGLE.COM', 'priority': 1},{'exchange': 'ALT1.ASPMX.L.GOOGLE.COM', 'priority': 5},{'exchange': 'ALT2.ASPMX.L.GOOGLE.COM', 'priority': 5}	
ianrfraser.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
helenlazzari.co.uk			ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenleathers.co.uk	US	77.104.180.217	ns1.uk33.siteground.eu,ns2.uk33.siteground.eu		{'exchange': 'mx10.mailspamprotection.com', 'priority': 10},{'exchange': 'mx30.mailspamprotection.com', 'priority': 30},{'exchange': 'mx20.mailspamprotection.com', 'priority': 20}	
iansharples.uk	DE	217.160.0.84	ns1118.ui-dns.biz,ns1032.ui-dns.de,ns1087.ui-dns.com,ns1093.ui-dns.org		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
helenlewis.co.uk	US	199.34.228.70	ns2.bouncingcow.net,ns0.bouncingcow.net,ns3.bouncingcow.net		{'exchange': 'mx0.bouncingcow.net', 'priority': 10}	v=spf1 include:bouncingcow.net mx -all
iansmithinteriors.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
estates15.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
estatesinhealthcare.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenlucas.co.uk	GB	91.197.231.62	ns1.absmax4.net,ns2.absmax4.net		{'exchange': 'mail.helenlucas.co.uk', 'priority': 10}	
helenmann.co.uk	DE	217.160.0.128	ns1056.ui-dns.org,ns1056.ui-dns.biz,ns1056.ui-dns.de,ns1056.ui-dns.com		{'exchange': 'mx00.schlund.de', 'priority': 10},{'exchange': 'mx01.schlund.de', 'priority': 10}	
ianverlander.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ianwarephotography.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
estellelloyd.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iarnold.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.iarnold.uk', 'priority': 10}	
iartupplies.uk			ns3.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
helenmayassociates.co.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'athena.hosts.co.uk', 'priority': 30},{'exchange': 'hermes.hosts.co.uk', 'priority': 30}	v=spf1 include:spf.hosts.co.uk ~all
iasishealthcare.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
iasummerschools.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenmcdonaldmua.co.uk	US	50.87.238.172	ns1.bluehost.com,ns2.bluehost.com		{'exchange': 'mail.helenmcdonaldmua.co.uk', 'priority': 0}	v=spf1 a mx ptr include:bluehost.com ?all
iat.uk	US	69.172.201.153	sell.internettraffic.com,buy.internettraffic.com			
helenmctiffenpr.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenmdesigns.co.uk	DE	217.160.0.45	ns1065.ui-dns.de,ns1065.ui-dns.biz,ns1065.ui-dns.org,ns1065.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
ibac.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
esthetig.uk			ns1.stackdns.com,ns2.stackdns.com,ns3.stackdns.com,ns4.stackdns.com		{'exchange': 'mx.stackmail.com', 'priority': 10},{'exchange': 'mx.stackmail.com', 'priority': 0}	
ibagroup.uk	CA	64.98.145.30	ns1.hover.com,ns2.hover.com		{'exchange': 'mx.hover.com.cust.hostedemail.com', 'priority': 10}	
ibagsit.uk	GB	213.246.109.139	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'mail.ibagsit.uk', 'priority': 10}	
estilamagazine.uk	GB	109.203.126.87	ns1.estila.co,ns2.estila.co			v=spf1 +a +mx +ip4:109.203.126.87 ~all
estimable.uk			ns1039.ui-dns.com,ns1043.ui-dns.de,ns1085.ui-dns.biz,ns1102.ui-dns.org			
helenmorgan.co.uk	GB	109.109.131.146	ns1.ourlinuxnetwork.com,ns2.ourlinuxnetwork.com		{'exchange': 'ALT1.ASPMX.L.GOOGLE.com', 'priority': 20},{'exchange': 'ASPMX.L.GOOGLE.com', 'priority': 10},{'exchange': 'ASPMX3.GOOGLEMAIL.com', 'priority': 30},{'exchange': 'ALT2.ASPMX.L.GOOGLE.com', 'priority': 20},{'exchange': 'ASPMX4.GOOGLEMAIL.com', 'priority': 30},{'exchange': 'ASPMX2.GOOGLEMAIL.com', 'priority': 30},{'exchange': 'ASPMX5.GOOGLEMAIL.com', 'priority': 30}	google-site-verification=Rye3xIwxPPDoB52EeYi-Eh9sJSD89XkkHM_iDkmXl84
estimateqs.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
eventura365.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net			
helenmortimer.co.uk	DE	217.160.0.99	ns1073.ui-dns.org,ns1073.ui-dns.com,ns1073.ui-dns.biz,ns1073.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
ibbab.uk	SE	91.189.44.199	ns2.nameisp.info,ns1.nameisp.info		{'exchange': 'smtp-fe.ballou.se', 'priority': 10}	
helenmorton.co.uk	US	104.31.85.116,104.31.84.116	skip.ns.cloudflare.com,lady.ns.cloudflare.com			
estio.uk			ns4.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk			
helenmostyn.co.uk			dns1.eclipse.net.uk,dns1.as12513.net,dns2.as12513.net			
eventvenuesearch.uk	US	165.160.13.20,165.160.15.20	dns1.cscdns.net,dns2.cscdns.net			
helenmullanyinteriors.co.uk	GB	217.174.248.152	ns0.ukfast.net,ns1.ukfast.net		{'exchange': 'ALT3.ASPMX.L.GOOGLE.COM', 'priority': 10},{'exchange': 'ALT4.ASPMX.L.GOOGLE.COM', 'priority': 10},{'exchange': 'ALT2.ASPMX.L.GOOGLE.COM', 'priority': 5},{'exchange': 'ASPMX.L.GOOGLE.COM', 'priority': 1},{'exchange': 'ALT1.ASPMX.L.GOOGLE.COM', 'priority': 5}	
eston-estates.uk	GB	158.255.40.23	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
eveonline.uk	GB	185.77.174.115	park.domain-names.co.uk,sell.domain-names.co.uk,buy.domain-names.co.uk,ns1.domain-names.co.uk,ns2.domain-names.co.uk,ns3.domain-names.co.uk			c5c2f9c21f7e715f8b7328b08d8f300af3fa1ed6
everafter.uk	US	162.220.9.7	pns1.dnmanager.com,pns2.dmanager.com			
estrella-damm-inedit-beer.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helennearyosteopath.co.uk	US	23.236.62.147	ns5.wixdns.net,ns4.wixdns.net		{'exchange': 'aspmx.l.google.com', 'priority': 10},{'exchange': 'aspmx3.googlemail.com', 'priority': 50},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 20},{'exchange': 'aspmx2.googlemail.com', 'priority': 40},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 30}	google-site-verification=nm9vgG8516XLgLFrtlgNMrYYKeC1lNUKthQ8j9JSEDU
estuarinedesign.uk			ns.123-reg.co.uk,ns2.123-reg.co.uk			
estuarybalconies.uk			ns0.beepweb.net,ns1.beepweb.net		{'exchange': 'mx.beepweb.net', 'priority': 5}	v=spf1 include:spf.beepweb.net -all
ibdpartnership.uk	DK	46.30.213.190	ns02.one.com,ns01.one.com		{'exchange': 'mx3.pub.mailpod5-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod5-cph3.one.com', 'priority': 10},{'exchange': 'mx2.pub.mailpod5-cph3.one.com', 'priority': 10}	
helennicholaspt.co.uk	GB	193.227.106.75	ns1.hosthost.co.uk,ns2.hosthost.co.uk,ns0.hosthost.co.uk		{'exchange': 'b.mx.mrsitemail.com', 'priority': 20},{'exchange': 'a.mx.mrsitemail.com', 'priority': 10}	
helennoble.co.uk	GB	83.223.116.136	ns29.uk-noc.com,ns30.uk-noc.com		{'exchange': 'mx2.email-cluster.com', 'priority': 5},{'exchange': 'mx1.email-cluster.com', 'priority': 5},{'exchange': 'failover1.email-cluster.com', 'priority': 10}	
everafterweddingfilms.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenofherts.co.uk	DE	217.160.233.122	ns1082.ui-dns.org,ns1082.ui-dns.com,ns1082.ui-dns.de,ns1082.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
helenogrady-kindydrama.co.uk	GB	94.236.52.117	ns0.ukfast.net,ns1.ukfast.net			
helenogradyad.co.uk	GB	81.143.240.186	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenogradynorthleicestershire.co.uk	US	23.236.62.147	ns6.wixdns.net,ns7.wixdns.net			
helenogradysouthcheshire.co.uk	GB	95.142.152.194,188.65.114.122,95.142.152.202,91.208.99.12	ns1.infoserve.com,ns2.infoserve.com		{'exchange': 'mail.helenogradysouthcheshire.co.uk', 'priority': 0}	
eswd.uk	US	50.63.202.62	ns12.domaincontrol.com,ns11.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
esynergytechnology.uk			ns1.ukdnsservers.co.uk,ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk			
helenonunwa.co.uk	GB	46.101.55.173	ns16.domaincontrol.com,ns15.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
everestaffiliates.uk	US	165.160.15.20,165.160.13.20	ns1.netnames.net,ns2.netnames.net,ns5.netnames.net,ns6.netnames.net		{'exchange': 'relay2.netnames.net', 'priority': 20},{'exchange': 'relay1.netnames.net', 'priority': 10}	
everestbridge.uk	US	165.160.13.20,165.160.15.20	ns1.netnames.net,ns2.netnames.net,ns5.netnames.net,ns6.netnames.net		{'exchange': 'relay2.netnames.net', 'priority': 20},{'exchange': 'relay1.netnames.net', 'priority': 10}	
everestcommercial.uk	GB	185.26.230.129	ns1.netnames.net,ns2.netnames.net,ns5.netnames.net,ns6.netnames.net		{'exchange': 'relay2.netnames.net', 'priority': 20},{'exchange': 'relay1.netnames.net', 'priority': 10}	
everestginrummy.uk	US	165.160.15.20,165.160.13.20	ns1.netnames.net,ns2.netnames.net,ns5.netnames.net,ns6.netnames.net		{'exchange': 'relay1.netnames.net', 'priority': 10},{'exchange': 'relay2.netnames.net', 'priority': 20}	
helenotway.co.uk	DE	46.4.57.70	ns1.smiletechservers.gr,ns3.smiletechservers.gr,ns2.smiletechservers.gr,ns4.smiletechservers.gr		{'exchange': 'helenotway.co.uk', 'priority': 0}	v=spf1 +a +mx +ip4:46.4.57.70 +ip4:138.201.122.98 ~all
ibex-ebi.uk	GB	213.246.110.7	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'mail.ibex-ebi.uk', 'priority': 10}	
helenpakeman.co.uk	GB	79.170.40.228,79.170.40.225	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.helenpakeman.co.uk', 'priority': 10}	v=spf1 a mx a:mailforwards.extendcp.co.uk ~all
etailadvantage.uk	GB	79.170.40.4	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.etailadvantage.uk', 'priority': 10}	
ibexinsure.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helenparkinart.co.uk	GB	213.171.195.105	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk			
ibhfgov.uk			ns1.pickaweb.co.uk,ns2.pickaweb.co.uk			v=spf1 +a +mx +ip4:89.187.86.9 ~all
iblamebrexit.uk	US	50.63.202.57	pdns10.domaincontrol.com,pdns09.domaincontrol.com			
everlake.uk			ns2.multi-action.nl,ns23.multi-action.nl			
helenphillipspiano.co.uk	US	162.255.119.250	pdns1.registrar-servers.com,pdns2.registrar-servers.com		{'exchange': 'eforward5.registrar-servers.com', 'priority': 20},{'exchange': 'eforward3.registrar-servers.com', 'priority': 10},{'exchange': 'eforward4.registrar-servers.com', 'priority': 15},{'exchange': 'eforward2.registrar-servers.com', 'priority': 10},{'exchange': 'eforward1.registrar-servers.com', 'priority': 10}	google-site-verification=dLM5I1mRfl1Vtyd_aCK_5-_KsPv-gqLdegG3QDYnzkY
helenpickering.co.uk	GB	213.171.219.247	ns0.ukfast.net,ns1.ukfast.net		{'exchange': 'helenpickering-co-uk.mail.protection.outlook.com', 'priority': 0}	MS=ms88066755
helenrandlephotography.co.uk	GB	79.170.44.113	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.helenrandlephotography.co.uk', 'priority': 10}	
etchells.uk	GB	109.239.101.52	ns02.any-dns.co.uk,ns01.any-dns.co.uk		{'exchange': 'mail.any-mail.com', 'priority': 20},{'exchange': 'mail.any-mail.com', 'priority': 10}	v=spf1 mx ip4:109.239.101.43 -all
ibmncs.uk	GB	94.126.40.154	ns0.lcn.com,ns1.lcn.com,ns2.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
helenredding.co.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ibni.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
ibookedonline.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk			
every-expense-spared.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenreynolds.co.uk	GB	79.170.40.4	ns2.heartinternet.co.uk,ns.heartinternet.co.uk		{'exchange': 'mail.helenreynolds.co.uk', 'priority': 10}	
helenrichardson.co.uk	GB	62.44.68.253	ns102.dns.daisyplc.net,auth3.dns.gxn.net		{'exchange': 'mail.helenrichardson.co.uk', 'priority': 10}	
ibra.uk	GB	109.169.51.43	ns2.daily.co.uk,ns1.daily.co.uk		{'exchange': 'mx.daily.co.uk', 'priority': 10}	v=spf1 a mx ip4:109.169.51.43 mx:mx.daily.co.uk a:web.zeray.org +all
ibrad.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
eternalsecrets.uk	FR	137.74.127.233	ns2.domaindiscount24.net,ns3.domaindiscount24.net,ns1.domaindiscount24.net		{'exchange': 'mailfw.dd24.net', 'priority': 10}	
helenrobertshairandbeauty.co.uk	US	160.153.136.3	ns49.domaincontrol.com,ns50.domaincontrol.com		{'exchange': 'smtp.europe.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.europe.secureserver.net', 'priority': 10}	
eternia.uk			ns2.enjin.com,ns1.enjin.com,ns3.enjin.com,ns4.enjin.com			
ibroxsuiteshotel.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
eternityrp.uk			ns3.nspops.com,ns4.nspops.com			
ibsblowers.uk			dns2.uk2.net,dns3.uk2.net,dns1.uk2.net			
helenrolfeandco.co.uk	GB	81.139.145.91	ns-a.russellpreece.com,ns-b.russellpreece.com,ns-c.russellpreece.com		{'exchange': 'helenrolfeandco-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:outlook.com a:82.71.156.147 -all
helenrollason.co.uk	GB	79.170.40.4	ns2.mainnameserver.com,ns.mainnameserver.com		{'exchange': 'mail.helenrollason.co.uk', 'priority': 10}	v=spf1 exists:%{i}.mta.spf.extendcp.co.uk exists:%{i}.web.spf.extendcp.co.uk -all
etflibrary.uk			ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenrollason-sfrg.co.uk	GB	51.38.84.141	ns3.freeola.net,ns4.freeola.net		{'exchange': 'mx2.freeola.com', 'priority': 10},{'exchange': 'mx5.freeola.com', 'priority': 10},{'exchange': 'mx4.freeola.com', 'priority': 10},{'exchange': 'mx3.freeola.com', 'priority': 10}	v=spf1 include:spf.freeola.net ~all
ethanbrocklehurst.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net			
helenross.co.uk	US	216.239.32.21,216.239.34.21,216.239.36.21,216.239.38.21	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
everydayempathy.uk	US	50.116.94.48	cns468.hostgator.com,cns467.hostgator.com		{'exchange': 'mail.everydayempathy.uk', 'priority': 0}	v=spf1 a mx include:websitewelcome.com ~all
