domain	country	A	NS	CNAME	MX	TXT
heavenscentscandles.co.uk	US	23.236.62.147	ns1.wixdns.net,ns0.wixdns.net		{'exchange': 'aspmx2.googlemail.com', 'priority': 40},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 30},{'exchange': 'aspmx3.googlemail.com', 'priority': 50},{'exchange': 'aspmx.l.google.com', 'priority': 10},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 20}	google-site-verification=1KNTNmXDAgMHKTpa1jguaLKZ0pgn7mP9h1pD9Ghn7ao
heavenscentshop.co.uk	US	23.236.62.147	ns14.wixdns.net,ns15.wixdns.net			
heavenscentyorkshire.co.uk	GB	178.17.39.72	ns2.nexcess.net,ns1.nexcess.net			
heavenseleven.co.uk	GB	94.136.40.82	ns2.hosteurope.com,ns.hosteurope.com			
heavensenses.co.uk	GB	85.233.160.22	ns0.phase8.net,ns2.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
heavensentcleaners.co.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk			
heavensentconsultancy.co.uk	DE	217.160.0.37	ns-uk.1and1-dns.com,ns-uk.1and1-dns.biz,ns-uk.1and1-dns.co.uk,ns-uk.1and1-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
heavensentdaynursery.co.uk			dns8.qzxyz.com,dns10.qzxyz.com,dns7.qzxyz.com		{'exchange': 'mx.lgflmail.org', 'priority': 10}	
heavensentimage.co.uk	GB	52.30.30.98	ns1.livedns.co.uk,ns2.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'mailserver.heavensentimage.co.uk', 'priority': 10}	
heavensentpets.co.uk			ns2.123-reg.co.uk,ns.123-reg.co.uk			
heavensentphotography.co.uk	US	23.236.62.147	ns14.wixdns.net,ns15.wixdns.net		{'exchange': 'alt2.aspmx.l.google.com', 'priority': 30},{'exchange': 'aspmx2.googlemail.com', 'priority': 40},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 20},{'exchange': 'aspmx.l.google.com', 'priority': 10},{'exchange': 'aspmx3.googlemail.com', 'priority': 50}	google-site-verification=WSFuRNZ-BriN-4CM0xdGs_L-zJXC__5UiDAY3XfRiHU
heavensentus.co.uk	GB	195.8.66.1	ns1.clara.net,ns0.clara.net		{'exchange': 'mx-vh.clara.net', 'priority': 5}	
heavensentvirtualassistant.co.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns3.livedns.co.uk,ns1.livedns.co.uk			
heavensentwedding.co.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
